field,type,mean,median,range,missing,value,frequency
codec_year,numeric,2021.0,2022.0,8.0,0,,
bitrate,numeric,,,,8,,
ref_frames,numeric,3.125,3.0,3.0,0,,
subme,numeric,7.0,7.0,2.0,0,,
keyint,numeric,250.0,250.0,0.0,0,,
keyint_min,numeric,23.875,25.0,9.0,0,,
scenecut,numeric,40.0,40.0,0.0,0,,
rc_lookahead,numeric,40.0,40.0,20.0,0,,
vbv_maxrate,numeric,1080013.6666666667,1230041.0,1990000.0,5,,
vbv_bufsize,numeric,49733.666666666664,49201.0,60000.0,5,,
filler,numeric,0.0,0.0,0.0,5,,
threads,numeric,21.875,23.0,31.0,0,,
lookahead_threads,numeric,3.375,3.5,4.0,0,,
me_range,numeric,16.0,16.0,0.0,0,,
chroma_qp_offset,numeric,-2.0,-2.0,0.0,0,,
open_gop,numeric,0.0,0.0,0.0,0,,
bframes,numeric,3.0,3.0,0.0,0,,
b_pyramid,numeric,2.0,2.0,0.0,0,,
b_adapt,numeric,1.0,1.0,0.0,0,,
direct,numeric,1.25,1.0,2.0,0,,
weightb,numeric,1.0,1.0,0.0,0,,
weightp,numeric,1.875,2.0,1.0,0,,
x264_core_revision,categorical,,,,2,r3095,3.0
x264_core_revision,categorical,,,,2,missing,2.0
x264_core_revision,categorical,,,,2,r3191,1.0
x264_core_revision,categorical,,,,2,r3106,1.0
x264_core_revision,categorical,,,,2,r3108,1.0
x264_core_commit,categorical,,,,2,baee400,3.0
x264_core_commit,categorical,,,,2,missing,2.0
x264_core_commit,categorical,,,,2,4613ac3,1.0
x264_core_commit,categorical,,,,2,eaa68fa,1.0
x264_core_commit,categorical,,,,2,31e19f9,1.0
rc_mode,categorical,,,,0,crf,8.0
nal_hrd,categorical,,,,5,missing,5.0
nal_hrd,categorical,,,,5,none,3.0
analyse,categorical,,,,0,0x3:0x113,8.0
