field,type,mean,median,range,missing,value,frequency
codec_year,numeric,2023.0,2023.0,0.0,2,,
bitrate,numeric,2550.0,2500.0,300.0,2,,
ref_frames,numeric,1.0,1.0,0.0,2,,
subme,numeric,2.0,2.0,0.0,2,,
keyint,numeric,60.0,60.0,0.0,2,,
keyint_min,numeric,6.0,6.0,0.0,2,,
scenecut,numeric,0.0,0.0,0.0,2,,
rc_lookahead,numeric,10.0,10.0,0.0,2,,
vbv_maxrate,numeric,2550.0,2500.0,300.0,2,,
vbv_bufsize,numeric,2550.0,2500.0,300.0,2,,
filler,numeric,1.0,1.0,0.0,2,,
threads,numeric,15.0,15.0,0.0,2,,
lookahead_threads,numeric,5.0,5.0,0.0,2,,
me_range,numeric,16.0,16.0,0.0,2,,
chroma_qp_offset,numeric,0.0,0.0,0.0,2,,
open_gop,numeric,0.0,0.0,0.0,2,,
bframes,numeric,3.0,3.0,0.0,2,,
b_pyramid,numeric,2.0,2.0,0.0,2,,
b_adapt,numeric,1.0,1.0,0.0,2,,
direct,numeric,1.0,1.0,0.0,2,,
weightb,numeric,1.0,1.0,0.0,2,,
weightp,numeric,1.0,1.0,0.0,2,,
x264_core_revision,categorical,,,,2,r3106,6.0
x264_core_revision,categorical,,,,2,missing,2.0
x264_core_commit,categorical,,,,2,eaa68fa,6.0
x264_core_commit,categorical,,,,2,missing,2.0
rc_mode,categorical,,,,0,cbr,6.0
rc_mode,categorical,,,,0,wWs,1.0
rc_mode,categorical,,,,0,0,1.0
nal_hrd,categorical,,,,2,none,6.0
nal_hrd,categorical,,,,2,missing,2.0
analyse,categorical,,,,2,0x3:0x113,6.0
analyse,categorical,,,,2,missing,2.0
